Q01	In Bun's package manager, what is the security reason installed dependencies do not run arbitrary lifecycle scripts by default, and what must a project do to allow a specific dependency's lifecycle scripts to run?
Q02	PostgreSQL's heap-only tuple optimization applies only under certain update conditions. What are those conditions, and what two overheads does HOT reduce when the conditions are met?
Q03	Tailscale subnet routers and exit nodes both route traffic, but they solve different network problems. Explain the practical difference between them, including what SNAT changes about traffic from devices behind a subnet router.
Q04	Qdrant's sparse-vector documentation contrasts sparse and dense vectors for text search. Why are sparse vectors useful for rare or specialized terms, and where do they fall short compared with dense vectors?
Q05	OpenZFS special allocation classes can store metadata and optionally small blocks. What has to exist in a pool before special-class devices can be added, how is small-block placement enabled, and why should the special device's redundancy match the pool?
Q06	In MCP sampling, why does the server send a `sampling/createMessage` request through the client instead of directly calling an LLM provider, and how do model hints and priority values affect model selection without guaranteeing an exact model?
Q07	vLLM's automatic prefix caching hashes KV-cache blocks using more than just the current block's tokens. What components go into the block hash, why are only full blocks cached, and what changed around hash collision risk as of v0.11?
Q08	Combine PostgreSQL's HOT update behavior with the visibility-map explanation for index-only scans. How do MVCC row versions create maintenance pressure, how does HOT reduce part of that pressure, and why does the visibility map let some index-only scans avoid heap fetches?
Q09	OpenZFS dRAID uses distributed hot spares and fixed stripe width. Explain how that design helps resilvering, why the fixed stripe width affects usable capacity, IOPS, and compression, and why small-block-heavy dRAID pools may need a mirrored special vdev.
Q10	Compare four different safety or trust-boundary mechanisms from the indexed docs: Bun `trustedDependencies`, MCP sampling's human-in-the-loop client control, vLLM prefix-cache salting, and Tailscale subnet-router access control. For each mechanism, identify what risk it is trying to limit, who or what makes the trust decision, and one operational tradeoff it introduces.
